Date Invested,Symbol,Amount Invested
2024-02-29, FSISX,790.05
2024-02-29, FSMAX, 17459.91
2024-02-29, FGOMX, 2730.69
2024-02-29, FQITX, 1449.62
2024-02-29, FITMX, 1617.99
2024-02-29, FIWCX, 1099.67
2024-02-29, FSWCX, 3139.29
2024-02-29, FUMIX, 3121.02
2024-02-29, FLCPX, 67002.98
2024-02-29, FIONX, 23458.87
2024-02-29, FERGX, 10905.42
2024-02-29, FUQIX, 6151.68
2024-02-29, FSKLX, 951.7
2024-02-29, FSUVX, 4100.22
2024-02-29, FIQSX, 231.55
2024-02-29, FXNAX, 15339.80
2024-02-29, FPIOX, 699.51
2024-02-29, FSMOX, 1324.18
2024-02-29, FIKOX, 802.04
2024-02-29, FUTBX, 1338.32
2024-02-29, FBLTX, 390.48
2024-02-29, FGBMX, 173.45
2024-02-29, QQQM, 1987.59
